station_name,province,basin,current_lon,current_lat,location_status,coord_source,registry_source,shares_coord_with,official_lon,official_lat,official_source,review_result,reviewer,review_date
望亭上游,江苏省,太湖流域,120.446,31.4193,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
朱厍港口,江苏省,太湖流域,119.804,31.682,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
朱枫公路桥,浙江省,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
杨家浦,浙江省,太湖流域,120.0156,31.0175,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
林家闸,江苏省,太湖流域,120.1375,31.2258,suspicious,fallback,taihugurad_stations_json,小梅口；瓜泾口西；殷桥；胥湖心；上塘河排涝闸,,,,,,
枫南大桥,浙江省,太湖流域,120.9958,30.8812,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
横潦泾,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
殷村港桥,江苏省,太湖流域,119.8381,31.5033,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
殷桥,安徽省,太湖流域,120.1375,31.2258,suspicious,fallback,taihugurad_stations_json,小梅口；瓜泾口西；林家闸；胥湖心；上塘河排涝闸,,,,,,
江边闸,江苏省,太湖流域,119.2299,32.2089,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
池家浜水文站,浙江省,太湖流域,120.6916,30.7577,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
汤溇,浙江省,太湖流域,120.3425,30.9353,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
汪家埠,浙江省,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
浏河闸,江苏省,太湖流域,121.2792,31.4909,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
浙江路桥,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
淀峰,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
湘家荡,浙江省,太湖流域,120.6044,30.0302,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
漕廊公路桥,浙江省,太湖流域,121.2827,30.7873,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
潘家坝,江苏省,太湖流域,119.5769,31.3937,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
王江泾,浙江省,太湖流域,120.7124,30.8704,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
瓜泾口西,江苏省,太湖流域,120.1375,31.2258,suspicious,fallback,taihugurad_stations_json,小梅口；林家闸；殷桥；胥湖心；上塘河排涝闸,,,,,,
百渎港桥,江苏省,太湖流域,120.108,31.5047,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
盐官排涝枢纽,浙江省,太湖流域,120.7887,30.4351,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
红旗塘大坝,浙江省,太湖流域,120.8738,30.0194,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
胥湖心,江苏省,太湖流域,120.1375,31.2258,suspicious,fallback,taihugurad_stations_json,小梅口；瓜泾口西；林家闸；殷桥；上塘河排涝闸,,,,,,
航管站,江苏省,太湖流域,118.7636,32.0614,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
荆湾,浙江省,太湖流域,119.7809,30.8256,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
落蓬湾,江苏省,太湖流域,119.2233,31.3463,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
蕴川路桥,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
蠡桥,江苏省,太湖流域,120.3405,31.4966,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
赵屯,江苏省,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
越溪桥,江苏省,太湖流域,120.9734,31.3885,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
辛丰镇,江苏省,太湖流域,119.5728,32.1234,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
金潼桥,江苏省,太湖流域,120.0311,30.9928,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
钓邾大桥,江苏省,太湖流域,118.9053,31.2462,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
钱桥,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
铁路桥,浙江省,太湖流域,119.9678,30.7135,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
锡东水厂,江苏省,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
长山闸一号桥,浙江省,太湖流域,121.093,30.6148,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
长济桥,江苏省,太湖流域,120.2041,31.9078,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
闵行西界,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
青阳汇,浙江省,太湖流域,121.1021,30.8144,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
黄埝桥,江苏省,太湖流域,119.6078,31.8328,metadata_only,amap_geocode,taihugurad_stations_json,,,,,,,
黄渡,上海市,太湖流域,,,missing,pending,mee_gjz_realtime,,,,,,,
